                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.7364,                 1.0997,                0.89694,                0.78713,                0.31445,                 0.4101,                0.16015,                 2.0682,                 1.6072,                 1.0192,             0.00069593,             0.00069593,             0.00069593
                     72,                 1.7318,                 1.2419,                0.90333,                0.66194,                0.42411,                0.42388,                0.16463,                 2.0858,                 1.5098,                 1.0257,             0.00068303,             0.00068303,             0.00068303
                     73,                 1.7306,                 1.2928,                0.95636,                 0.6994,                0.40169,                0.38823,                0.15205,                 2.1024,                 1.4766,                 1.0363,              0.0006701,              0.0006701,              0.0006701
                     74,                 1.5842,                 1.0434,                0.91656,                0.67183,                0.39507,                0.37431,                0.14091,                 2.0819,                  1.468,                 1.0344,             0.00065716,             0.00065716,             0.00065716
                     75,                 1.4818,                  0.995,                0.90507,                0.61011,                0.36107,                0.35426,                0.12833,                 2.0648,                  1.496,                  1.031,             0.00064421,             0.00064421,             0.00064421
                     76,                 1.0846,                 1.0101,                0.66242,                0.57906,                0.38222,                0.32844,                0.11611,                  2.134,                 1.6139,                 1.0551,             0.00063125,             0.00063125,             0.00063125
                     77,                 1.5162,                 1.0157,                0.91635,                0.78817,                0.29888,                 0.3323,                0.11841,                 2.1569,                 1.6838,                 1.0642,             0.00061829,             0.00061829,             0.00061829
                     78,                 1.5936,                 1.0468,                 0.8787,                0.78357,                0.31667,                0.37614,                0.13542,                 2.0758,                 1.6108,                  1.036,             0.00060534,             0.00060534,             0.00060534
                     79,                 1.5092,                0.96456,                0.87627,                0.78134,                0.31404,                0.36634,                0.13548,                 2.0522,                 1.5824,                 1.0288,              0.0005924,              0.0005924,              0.0005924
                     80,                 1.4526,                0.99619,                0.87608,                0.78953,                0.30509,                0.36969,                0.13971,                 2.0713,                 1.5951,                 1.0365,             0.00057947,             0.00057947,             0.00057947
                     81,                 1.6535,                 1.0173,                0.84659,                0.79695,                0.26821,                0.36751,                0.12872,                 2.1153,                 1.6095,                 1.0424,             0.00056657,             0.00056657,             0.00056657
                     82,                 1.5392,                 1.1711,                 0.9431,                0.27817,                0.37433,                0.37074,                0.13304,                 2.1008,                 1.5376,                 1.0311,              0.0005537,              0.0005537,              0.0005537
                     83,                 1.0908,                0.97093,                 0.6594,                 0.2965,                0.40913,                0.37611,                0.14182,                 2.0826,                  1.487,                 1.0225,             0.00054086,             0.00054086,             0.00054086
                     84,                 1.5836,                0.95227,                0.87794,                0.37061,                0.42809,                0.36626,                0.14995,                 2.0396,                 1.4922,                  1.019,             0.00052806,             0.00052806,             0.00052806
                     85,                 1.5066,                0.99559,                0.89883,                0.63617,                0.41195,                0.36918,                0.14127,                   2.05,                 1.4699,                 1.0235,             0.00051531,             0.00051531,             0.00051531
                     86,                 1.5189,                 1.0176,                0.92122,                 0.6509,                0.42247,                0.37377,                0.13724,                   2.06,                 1.4546,                 1.0193,              0.0005026,              0.0005026,              0.0005026
                     87,                 1.0702,                0.91416,                0.66042,                0.60877,                0.39221,                 0.3486,                0.13686,                 2.0559,                  1.454,                 1.0031,             0.00048996,             0.00048996,             0.00048996
                     88,                 1.4971,                0.96488,                0.86683,                0.59517,                0.45578,                 0.3907,                0.15036,                 2.0572,                 1.4227,                 1.0003,             0.00047737,             0.00047737,             0.00047737
                     89,                 1.3206,                0.85978,                0.84843,                 0.3356,                 0.4715,                0.39377,                0.15444,                 2.0556,                 1.4124,                 1.0001,             0.00046486,             0.00046486,             0.00046486
                     90,                  1.367,                0.91202,                0.87128,                0.36983,                0.45485,                0.40964,                0.15487,                 2.0645,                 1.4525,                 1.0063,             0.00045241,             0.00045241,             0.00045241
                     91,                 1.4794,                0.86509,                0.86528,                0.64973,                0.43917,                0.41752,                0.16031,                 2.0712,                 1.4515,                 1.0061,             0.00044005,             0.00044005,             0.00044005
                     92,                 1.7136,                 1.0451,                0.89834,                0.68628,                0.41914,                0.40733,                0.15411,                 2.0989,                 1.4805,                  1.011,             0.00042776,             0.00042776,             0.00042776
                     93,                 1.4147,                0.91365,                0.90028,                0.74489,                0.40502,                 0.4495,                0.16404,                  2.117,                 1.5412,                 1.0225,             0.00041557,             0.00041557,             0.00041557
                     94,                 1.3247,                 0.8821,                0.85607,                0.68704,                   0.43,                0.44757,                0.17079,                 2.1162,                 1.5306,                 1.0279,             0.00040347,             0.00040347,             0.00040347
                     95,                 1.3828,                0.84468,                0.85645,                0.42765,                0.41378,                0.43659,                0.17036,                  2.104,                 1.4838,                 1.0246,             0.00039147,             0.00039147,             0.00039147
                     96,                 1.3386,                0.80775,                0.84552,                0.38657,                0.42105,                 0.4117,                0.16371,                 2.0494,                 1.4343,                 1.0062,             0.00037958,             0.00037958,             0.00037958
                     97,                 1.4938,                  1.033,                 0.9193,                0.39978,                0.47439,                0.41149,                0.15819,                 2.0533,                 1.4347,                 1.0076,              0.0003678,              0.0003678,              0.0003678
                     98,                 1.4415,                0.95038,                 0.8905,                0.63671,                0.44082,                0.41167,                0.16284,                 2.0493,                 1.4101,                 1.0106,             0.00035613,             0.00035613,             0.00035613
                     99,                  1.281,                 0.8109,                0.86197,                0.64431,                0.44712,                0.40543,                0.16662,                 2.0354,                 1.3869,                 1.0079,             0.00034459,             0.00034459,             0.00034459
                    100,                 1.3268,                0.82424,                  0.873,                0.65595,                0.43012,                  0.418,                0.16876,                 2.0179,                 1.3815,                 1.0029,             0.00033316,             0.00033316,             0.00033316
                    101,                 1.2964,                 0.8176,                0.83615,                0.65148,                0.43391,                0.42348,                0.17799,                  2.003,                 1.3817,                0.99963,             0.00032187,             0.00032187,             0.00032187
                    102,                 1.3639,                0.78629,                0.85399,                0.67252,                0.41674,                0.43921,                0.17979,                 2.0167,                 1.3921,                 1.0022,             0.00031072,             0.00031072,             0.00031072
                    103,                 1.2961,                0.86251,                0.84104,                0.68719,                0.42168,                0.44147,                0.17487,                 2.0244,                 1.4136,                 1.0038,             0.00029971,             0.00029971,             0.00029971
                    104,                 1.3438,                0.86511,                0.87733,                0.69916,                0.42452,                0.44258,                0.17596,                 2.0281,                 1.4306,                 1.0066,             0.00028884,             0.00028884,             0.00028884
                    105,                 1.2396,                 0.8268,                 0.8395,                0.69152,                0.42738,                0.44981,                 0.1754,                 2.0475,                 1.4357,                 1.0026,             0.00027812,             0.00027812,             0.00027812
                    106,                 1.2138,                0.74826,                0.84679,                0.69373,                0.42562,                0.44371,                 0.1768,                 2.0465,                  1.452,                 1.0037,             0.00026756,             0.00026756,             0.00026756
                    107,                  1.403,                0.90026,                0.83284,                0.71366,                0.42484,                0.44653,                 0.1803,                  2.045,                 1.4758,                 1.0053,             0.00025715,             0.00025715,             0.00025715
                    108,                0.95087,                 0.8692,                0.64088,                0.69584,                0.41189,                0.44458,                 0.1763,                 2.0502,                 1.5424,                 1.0139,             0.00024691,             0.00024691,             0.00024691
                    109,                 1.3228,                0.89866,                0.84046,                0.70477,                0.42112,                0.44236,                0.17499,                 2.0424,                 1.5616,                 1.0168,             0.00023684,             0.00023684,             0.00023684
                    110,                 1.3754,                0.88566,                0.85519,                 0.6981,                0.41284,                0.43759,                0.17862,                 2.0372,                 1.5627,                 1.0129,             0.00022695,             0.00022695,             0.00022695
                    111,                 1.1675,                0.86237,                0.85209,                 0.7168,                0.42981,                0.44256,                0.18211,                  2.024,                  1.546,                 1.0082,             0.00021723,             0.00021723,             0.00021723
                    112,                 1.2151,                0.80195,                0.87334,                0.69841,                0.39984,                 0.4405,                0.17782,                 2.0324,                 1.5499,                 1.0092,             0.00020769,             0.00020769,             0.00020769
                    113,                0.93113,                0.67772,                0.64451,                 0.6962,                0.41263,                0.44082,                0.17047,                 2.0419,                 1.5611,                 1.0106,             0.00019833,             0.00019833,             0.00019833
                    114,                 1.2023,                0.74567,                0.84985,                0.69914,                0.41497,                0.42167,                0.16187,                 2.0512,                 1.5766,                 1.0141,             0.00018917,             0.00018917,             0.00018917
