                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.6315,                 1.1206,                0.93976,                0.63928,                0.31036,                0.34927,                0.14093,                 2.0678,                 1.5459,                 1.0165,             0.00029424,             0.00029424,             0.00029424
                     98,                 1.6375,                 1.0829,                0.90044,                0.51937,                0.39885,                0.35329,                0.14462,                 2.0629,                 1.5376,                 1.0168,             0.00028491,             0.00028491,             0.00028491
                     99,                 1.5461,                  1.067,                 0.8857,                0.53416,                0.40149,                0.35644,                0.14316,                  2.054,                 1.5041,                 1.0115,             0.00027567,             0.00027567,             0.00027567
                    100,                 1.6048,                 1.0689,                0.90316,                0.54518,                0.41717,                0.35987,                0.14712,                 2.0564,                 1.4767,                 1.0079,             0.00026653,             0.00026653,             0.00026653
                    101,                  1.589,                 1.0031,                0.89938,                0.55884,                0.43878,                0.36342,                0.14854,                  2.053,                 1.4682,                 1.0045,              0.0002575,              0.0002575,              0.0002575
                    102,                 1.5619,                0.98211,                0.88384,                0.57968,                0.45683,                0.37732,                0.14861,                 2.0394,                 1.4599,                 1.0057,             0.00024858,             0.00024858,             0.00024858
                    103,                 1.4749,                0.97893,                0.87239,                0.56208,                0.42795,                0.37753,                0.15239,                 2.0394,                 1.4504,                 1.0095,             0.00023977,             0.00023977,             0.00023977
                    104,                 1.5276,                 1.0059,                0.89727,                0.57601,                0.44407,                0.37597,                0.15255,                 2.0387,                 1.4473,                  1.011,             0.00023107,             0.00023107,             0.00023107
                    105,                 1.5044,                 1.0316,                0.89378,                0.56609,                0.40164,                0.37708,                0.15435,                  2.049,                 1.4574,                 1.0105,              0.0002225,              0.0002225,              0.0002225
                    106,                  1.471,                0.97693,                0.87697,                0.55627,                0.39843,                0.37245,                0.15069,                  2.054,                 1.4656,                 1.0088,             0.00021405,             0.00021405,             0.00021405
